"","site","Date","Si_load_kg.day","se.pred"
"1","Toolik",1993-06-12,18.9730330891854,11.050436016692
"2","Toolik",1993-06-13,15.01308268002,11.050436016692
"3","Toolik",1993-06-14,12.2179171059,11.050436016692
"4","Toolik",1993-06-15,10.13291249742,11.050436016692
"5","Toolik",1993-06-16,8.81054380278,11.050436016692
"6","Toolik",1993-06-17,7.92721550807999,11.050436016692
"7","Toolik",1993-06-18,7.22580036714,11.050436016692
"8","Toolik",1993-06-19,7.07187385241999,11.050436016692
"9","Toolik",1993-06-20,6.39669618558,11.050436016692
"10","Toolik",1993-06-21,5.96290328046002,11.050436016692
"11","Toolik",1993-06-22,5.57633782871999,11.050436016692
"12","Toolik",1993-06-23,6.06260568204001,11.050436016692
"13","Toolik",1993-06-24,6.91845021596841,11.050436016692
"14","Toolik",1993-06-25,7.29600696272841,11.050436016692
"15","Toolik",1993-06-26,7.34262734359135,11.050436016692
"16","Toolik",1993-06-27,7.0200546149103,11.050436016692
"17","Toolik",1993-06-28,6.94487979488841,11.050436016692
"18","Toolik",1993-06-29,7.94151406672675,11.050436016692
"19","Toolik",1993-06-30,7.59541781015621,11.050436016692
"20","Toolik",1993-07-01,6.81347307367704,11.050436016692
"21","Toolik",1993-07-02,6.19937324523665,11.050436016692
"22","Toolik",1993-07-03,5.76797329566946,11.050436016692
"23","Toolik",1993-07-04,5.64424821295579,11.050436016692
"24","Toolik",1993-07-05,8.02967091541011,11.050436016692
"25","Toolik",1993-07-06,137.433455655266,11.050436016692
"26","Toolik",1993-07-07,190.988881504181,11.050436016692
"27","Toolik",1993-07-08,71.8175355228946,11.050436016692
"28","Toolik",1993-07-09,42.5128142268284,11.050436016692
"29","Toolik",1993-07-10,29.6897375634518,11.050436016692
"30","Toolik",1993-07-11,22.778309763125,11.050436016692
"31","Toolik",1993-07-12,18.08001590976,11.050436016692
"32","Toolik",1993-07-13,14.8636448194737,11.050436016692
"33","Toolik",1993-07-14,12.1711330368303,11.050436016692
"34","Toolik",1993-07-15,10.3538910443684,11.050436016692
"35","Toolik",1993-07-16,9.29636156674609,11.050436016692
"36","Toolik",1993-07-17,8.57004197822717,11.050436016692
"37","Toolik",1993-07-18,8.21057809977474,11.050436016692
"38","Toolik",1993-07-19,7.72888138330738,11.050436016692
"39","Toolik",1993-07-20,7.3818397155922,11.050436016692
"40","Toolik",1993-07-21,7.42222674737054,11.050436016692
"41","Toolik",1993-07-22,7.42816911884967,11.050436016692
"42","Toolik",1993-07-23,7.35586756964525,11.050436016692
"43","Toolik",1993-07-24,7.20319830381095,11.050436016692
"44","Toolik",1993-07-25,7.20698409913074,11.050436016692
"45","Toolik",1993-07-26,7.04637691313305,11.050436016692
"46","Toolik",1993-07-27,7.0572389773017,11.050436016692
"47","Toolik",1993-07-28,7.59912921142107,11.050436016692
"48","Toolik",1993-07-29,8.12954796741095,11.050436016692
"49","Toolik",1993-07-30,10.8367177203227,11.050436016692
"50","Toolik",1993-07-31,17.502767213688,11.050436016692
"51","Toolik",1993-08-01,22.8403722850674,11.050436016692
"52","Toolik",1993-08-02,24.6717101948589,11.050436016692
"53","Toolik",1993-08-03,24.4650312708499,11.050436016692
"54","Toolik",1993-08-04,23.132617356636,11.050436016692
"55","Toolik",1993-08-05,33.3971381522918,11.050436016692
"56","Toolik",1993-08-06,60.9925662096441,11.050436016692
"57","Toolik",1993-08-07,58.6031451726317,11.050436016692
"58","Toolik",1993-08-08,52.5123219000504,11.050436016692
"59","Toolik",1993-08-09,47.4155039900785,11.050436016692
"60","Toolik",1993-08-10,40.9132391283625,11.050436016692
"61","Toolik",1993-08-11,34.4951174549577,11.050436016692
"62","Toolik",1993-08-12,31.8510690887274,11.050436016692
"63","Toolik",1993-08-13,32.4945813890463,11.050436016692
"64","Toolik",1993-08-14,30.4211594772758,11.050436016692
"65","Toolik",1993-08-15,28.0858090824057,11.050436016692
"66","Toolik",1993-08-16,26.7817338752343,11.050436016692
"67","Toolik",1993-08-17,25.0292422757558,11.050436016692
"68","Toolik",1993-08-18,23.0598249556699,11.050436016692
"69","Toolik",1993-08-19,21.064716143604,11.050436016692
"70","Toolik",1993-08-20,18.8232972363777,11.050436016692
"71","Toolik",1993-08-21,17.6199273137331,11.050436016692
"72","Toolik",1993-08-22,18.8625019454716,11.050436016692
"73","Toolik",1993-08-23,24.9951196704069,11.050436016692
"74","Toolik",1993-08-24,39.2922852645183,11.050436016692
"75","Toolik",1993-08-25,54.5892503285675,11.050436016692
"76","Toolik",1994-06-06,34.8538188315971,11.050436016692
"77","Toolik",1994-06-07,34.6557044193954,11.050436016692
"78","Toolik",1994-06-08,31.1887943736063,11.050436016692
"79","Toolik",1994-06-09,25.280758145465,11.050436016692
"80","Toolik",1994-06-10,19.0376666325133,11.050436016692
"81","Toolik",1994-06-11,14.7484272663398,11.050436016692
"82","Toolik",1994-06-12,9.46912638033286,11.050436016692
"83","Toolik",1994-06-13,6.76316938887472,11.050436016692
"84","Toolik",1994-06-14,3.10313679325674,11.050436016692
"85","Toolik",1994-06-15,1.42007706521708,11.050436016692
"86","Toolik",1994-06-16,16.908153391324,11.050436016692
"87","Toolik",1994-06-17,38.9160719743472,11.050436016692
"88","Toolik",1994-06-18,39.25193867586,11.050436016692
"89","Toolik",1994-06-19,47.493565065288,11.050436016692
"90","Toolik",1994-06-20,73.8079252614324,11.050436016692
"91","Toolik",1994-06-21,104.146299055648,11.050436016692
"92","Toolik",1994-06-22,101.300481666606,11.050436016692
"93","Toolik",1994-06-23,81.7330284679265,11.050436016692
"94","Toolik",1994-06-24,67.3633352688556,11.050436016692
"95","Toolik",1994-06-25,57.6707695905808,11.050436016692
"96","Toolik",1994-06-26,63.4088943736804,11.050436016692
"97","Toolik",1994-06-27,91.9047562497665,11.050436016692
"98","Toolik",1994-06-28,106.686210006473,11.050436016692
"99","Toolik",1994-06-29,101.624571544434,11.050436016692
"100","Toolik",1994-06-30,80.6754046939771,11.050436016692
"101","Toolik",1994-07-01,64.7946874591141,11.050436016692
"102","Toolik",1994-07-02,52.1245675270118,11.050436016692
"103","Toolik",1994-07-03,45.4795693161821,11.050436016692
"104","Toolik",1994-07-04,80.3484627247556,11.050436016692
"105","Toolik",1994-07-05,84.8784282683684,11.050436016692
"106","Toolik",1994-07-06,101.865700875922,11.050436016692
"107","Toolik",1994-07-07,136.732630983878,11.050436016692
"108","Toolik",1994-07-08,104.4481994964,11.050436016692
"109","Toolik",1994-07-09,82.5232157251202,11.050436016692
"110","Toolik",1994-07-10,66.92654893428,11.050436016692
"111","Toolik",1994-07-11,55.787166930384,11.050436016692
"112","Toolik",1994-07-12,46.265940445716,11.050436016692
"113","Toolik",1994-07-13,42.49304020188,11.050436016692
"114","Toolik",1994-07-14,101.1778677054,11.050436016692
"115","Toolik",1994-07-15,108.9586184544,11.050436016692
"116","Toolik",1994-07-16,95.7345270768002,11.050436016692
"117","Toolik",1994-07-17,88.4604275136003,11.050436016692
"118","Toolik",1994-07-18,89.923255164,11.050436016692
"119","Toolik",1994-07-19,154.0454174928,11.050436016692
"120","Toolik",1994-07-20,192.9815257338,11.050436016692
"121","Toolik",1994-07-21,289.697101794,11.050436016692
"122","Toolik",1994-07-22,223.5280120542,11.050436016692
"123","Toolik",1994-07-23,166.88410615836,11.050436016692
"124","Toolik",1994-07-24,131.44723776756,11.050436016692
"125","Toolik",1994-07-25,112.684137561,11.050436016692
"126","Toolik",1994-07-26,96.1922825305203,11.050436016692
"127","Toolik",1994-07-27,80.5621895010002,11.050436016692
"128","Toolik",1994-07-28,68.22019795833,11.050436016692
"129","Toolik",1994-07-29,57.46166578224,11.050436016692
"130","Toolik",1994-07-30,59.207821754112,11.050436016692
"131","Toolik",1994-07-31,104.724118638288,11.050436016692
"132","Toolik",1994-08-01,114.967657224,11.050436016692
"133","Toolik",1994-08-02,109.1664960912,11.050436016692
"134","Toolik",1994-08-03,102.478821768,11.050436016692
"135","Toolik",1994-08-04,89.9474199282,11.050436016692
"136","Toolik",1994-08-05,79.5856903686,11.050436016692
"137","Toolik",1994-08-06,70.62281249895,11.050436016692
"138","Toolik",1994-08-07,66.09236914116,11.050436016692
"139","Toolik",1994-08-08,73.67552491662,11.050436016692
"140","Toolik",1994-08-09,74.45129473368,11.050436016692
"141","Toolik",1994-08-10,62.25027274116,11.050436016692
"142","Toolik",1994-08-11,48.00945143754,11.050436016692
"143","Toolik",1994-08-12,36.69458875812,11.050436016692
"144","Toolik",1994-08-13,37.5714735971657,11.050436016692
"145","Toolik",1994-08-14,38.2678073489571,11.050436016692
"146","Toolik",1994-08-15,48.4702704576,11.050436016692
"147","Toolik",1994-08-16,64.6065076895229,11.050436016692
"148","Toolik",1994-08-17,77.8060688704455,11.050436016692
"149","Toolik",1994-08-18,87.9347391734569,11.050436016692
"150","Toolik",1994-08-19,90.2334538943997,11.050436016692
"151","Toolik",1994-08-20,85.9370285355871,11.050436016692
"152","Toolik",1994-08-21,85.2213452980309,11.050436016692
"153","Toolik",1994-08-24,NA,11.050436016692
"154","Toolik",1995-07-12,48.3915584591051,11.050436016692
"155","Toolik",1995-07-13,43.0423765580091,11.050436016692
"156","Toolik",1995-07-14,34.2921047040784,11.050436016692
"157","Toolik",1995-07-15,28.7447514393029,11.050436016692
"158","Toolik",1995-07-16,26.0621860651068,11.050436016692
"159","Toolik",1995-07-17,28.7013069110515,11.050436016692
"160","Toolik",1995-07-18,35.0848459769618,11.050436016692
"161","Toolik",1995-07-19,46.43470250793,11.050436016692
"162","Toolik",1995-07-19,46.43470250793,11.050436016692
"163","Toolik",1995-07-19,46.43470250793,11.050436016692
"164","Toolik",1995-07-19,46.43470250793,11.050436016692
"165","Toolik",1995-07-20,256.4500261356,11.050436016692
"166","Toolik",1995-07-20,256.4500261356,11.050436016692
"167","Toolik",1995-07-20,256.4500261356,11.050436016692
"168","Toolik",1995-07-20,256.4500261356,11.050436016692
"169","Toolik",1995-07-20,256.4500261356,11.050436016692
"170","Toolik",1995-07-20,256.4500261356,11.050436016692
"171","Toolik",1995-07-20,256.4500261356,11.050436016692
"172","Toolik",1995-07-20,256.4500261356,11.050436016692
"173","Toolik",1995-07-21,657.8259506352,11.050436016692
"174","Toolik",1995-07-21,657.8259506352,11.050436016692
"175","Toolik",1995-07-22,543.8761456338,11.050436016692
"176","Toolik",1995-07-22,543.8761456338,11.050436016692
"177","Toolik",1995-07-23,244.557524484,11.050436016692
"178","Toolik",1995-07-24,152.370305564071,11.050436016692
"179","Toolik",1995-07-25,112.558097980909,11.050436016692
"180","Toolik",1995-07-26,94.3718464790336,11.050436016692
"181","Toolik",1995-07-27,81.6701033210264,11.050436016692
"182","Toolik",1995-07-28,70.0458109364952,11.050436016692
"183","Toolik",1995-07-29,61.5079412510627,11.050436016692
"184","Toolik",1995-07-30,54.7274423764039,11.050436016692
"185","Toolik",1995-07-31,55.7222378104369,11.050436016692
"186","Toolik",1995-08-01,78.4364957966987,11.050436016692
"187","Toolik",1995-08-02,87.0360667562953,11.050436016692
"188","Toolik",1995-08-03,121.686021815191,11.050436016692
"189","Toolik",1995-08-04,130.721017948921,11.050436016692
"190","Toolik",1995-08-05,109.264830922074,11.050436016692
"191","Toolik",1995-08-06,100.850052551558,11.050436016692
"192","Toolik",1995-08-07,85.7483090158316,11.050436016692
"193","Toolik",1995-08-08,73.731991135094,11.050436016692
"194","Toolik",1995-08-09,65.1366956001532,11.050436016692
"195","Toolik",1995-08-10,60.6171219528197,11.050436016692
"196","Toolik",1995-08-11,63.2180273565634,11.050436016692
"197","Toolik",1995-08-12,59.6978891301123,11.050436016692
"198","Toolik",1995-08-13,56.6977704543335,11.050436016692
"199","Toolik",1995-08-14,67.3390323339559,11.050436016692
"200","Toolik",1995-08-15,131.605028769114,11.050436016692
"201","Toolik",1995-08-16,170.407059328028,11.050436016692
"202","Toolik",1995-08-17,124.013676404385,11.050436016692
"203","Toolik",1995-08-18,99.6148324014768,11.050436016692
"204","Toolik",1995-08-19,120.099667799277,11.050436016692
"205","Toolik",1995-08-20,138.451347800926,11.050436016692
"206","Toolik",1995-08-21,114.146686128356,11.050436016692
"207","Toolik",1995-08-22,97.4393602334003,11.050436016692
"208","Toolik",1995-08-23,86.6269077027123,11.050436016692
"209","Toolik",1996-05-15,NA,11.050436016692
"210","Toolik",1996-05-18,NA,11.050436016692
"211","Toolik",1996-05-21,NA,11.050436016692
"212","Toolik",1996-05-23,NA,11.050436016692
"213","Toolik",1996-05-24,NA,11.050436016692
"214","Toolik",1996-05-24,NA,11.050436016692
"215","Toolik",1996-05-26,NA,11.050436016692
"216","Toolik",1996-05-29,NA,11.050436016692
"217","Toolik",1996-05-30,NA,11.050436016692
"218","Toolik",1996-05-31,NA,11.050436016692
"219","Toolik",1996-06-03,NA,11.050436016692
"220","Toolik",1996-06-04,87.7405399776,11.050436016692
"221","Toolik",1996-06-05,78.4369035449998,11.050436016692
"222","Toolik",1996-06-06,130.244034726,11.050436016692
"223","Toolik",1996-06-07,298.8275405652,11.050436016692
"224","Toolik",1996-06-08,146.97668809296,11.050436016692
"225","Toolik",1996-06-09,83.2622733,11.050436016692
"226","Toolik",1996-06-10,81.3337431228002,11.050436016692
"227","Toolik",1996-06-11,67.073903442,11.050436016692
"228","Toolik",1996-06-12,50.708526180696,11.050436016692
"229","Toolik",1996-06-13,39.174556832208,11.050436016692
"230","Toolik",1996-06-14,30.359190187368,11.050436016692
"231","Toolik",1996-06-15,23.697516746016,11.050436016692
"232","Toolik",1996-06-16,17.81309131776,11.050436016692
"233","Toolik",1996-06-17,12.862986892056,11.050436016692
"234","Toolik",1996-06-18,9.01758628915201,11.050436016692
"235","Toolik",1996-06-19,6.27553062021599,11.050436016692
"236","Toolik",1996-06-20,3.9843045207,11.050436016692
"237","Toolik",1996-06-21,2.611541676384,11.050436016692
"238","Toolik",1996-06-22,1.758726704646,11.050436016692
"239","Toolik",1996-06-23,7.56749417724,11.050436016692
"240","Toolik",1996-06-23,7.56749417724,11.050436016692
"241","Toolik",1996-06-24,16.19931983274,11.050436016692
"242","Toolik",1996-06-24,16.19931983274,11.050436016692
"243","Toolik",1996-06-24,16.19931983274,11.050436016692
"244","Toolik",1996-06-25,12.1126133322,11.050436016692
"245","Toolik",1996-06-26,12.10474714536,11.050436016692
"246","Toolik",1996-06-27,12.91364324796,11.050436016692
"247","Toolik",1996-06-28,11.74249811952,11.050436016692
"248","Toolik",1996-06-29,9.50213126556001,11.050436016692
"249","Toolik",1996-06-30,7.55016093005999,11.050436016692
"250","Toolik",1996-07-01,5.33162325012001,11.050436016692
"251","Toolik",1996-07-02,3.171117234555,11.050436016692
"252","Toolik",1996-07-03,1.724364207738,11.050436016692
"253","Toolik",1996-07-04,0.840231263463001,11.050436016692
"254","Toolik",1996-07-05,0.2710752694056,11.050436016692
"255","Toolik",1996-07-06,0.693010193965713,11.050436016692
"256","Toolik",1996-07-07,2.29534378689086,11.050436016692
"257","Toolik",1996-07-08,2.90676200841257,11.050436016692
"258","Toolik",1996-07-09,2.60391525946971,11.050436016692
"259","Toolik",1996-07-10,2.02278301279972,11.050436016692
"260","Toolik",1996-07-11,1.47742328352857,11.050436016692
"261","Toolik",1996-07-12,1.678051779948,11.050436016692
"262","Toolik",1996-07-13,9.8098924313417,11.050436016692
"263","Toolik",1996-07-14,37.5744822764143,11.050436016692
"264","Toolik",1996-07-15,46.8092137433143,11.050436016692
"265","Toolik",1996-07-16,42.5575874214,11.050436016692
"266","Toolik",1996-07-17,39.2846268276,11.050436016692
"267","Toolik",1996-07-18,33.2068809747086,11.050436016692
"268","Toolik",1996-07-19,28.3277767572,11.050436016692
"269","Toolik",1996-07-20,31.14048453462,11.050436016692
"270","Toolik",1996-07-21,42.10423015698,11.050436016692
"271","Toolik",1996-07-22,69.36118937055,11.050436016692
"272","Toolik",1996-07-23,94.0933452672,11.050436016692
"273","Toolik",1996-07-24,65.89349009856,11.050436016692
"274","Toolik",1996-07-25,49.1238312768,11.050436016692
"275","Toolik",1996-07-26,38.10033094464,11.050436016692
"276","Toolik",1996-07-27,31.2054227043,11.050436016692
"277","Toolik",1996-07-28,30.67632221664,11.050436016692
"278","Toolik",1996-07-29,33.57626243364,11.050436016692
"279","Toolik",1996-07-30,57.13383385152,11.050436016692
"280","Toolik",1996-07-31,68.5209077217,11.050436016692
"281","Toolik",1996-08-01,61.098432462,11.050436016692
"282","Toolik",1996-08-02,49.9268799783,11.050436016692
"283","Toolik",1996-08-03,47.78035127352,11.050436016692
"284","Toolik",1996-08-04,56.07618559884,11.050436016692
"285","Toolik",1996-08-05,56.29738924368,11.050436016692
"286","Toolik",1996-08-06,55.1348416485,11.050436016692
"287","Toolik",1996-08-07,50.80418224812,11.050436016692
"288","Toolik",1996-08-08,45.29006615952,11.050436016692
"289","Toolik",1996-08-09,48.84068899368,11.050436016692
"290","Toolik",1996-08-10,57.04114833126,11.050436016692
"291","Toolik",1996-08-11,56.5548501456,11.050436016692
"292","Toolik",1996-08-12,50.112564453,11.050436016692
"293","Toolik",1996-08-13,43.49072141838,11.050436016692
"294","Toolik",1996-08-14,40.299776944245,11.050436016692
"295","Toolik",1996-08-15,43.533027449595,11.050436016692
"296","Toolik",1996-08-16,48.32447301,11.050436016692
"297","Toolik",1996-08-17,67.536959472135,11.050436016692
"298","Toolik",1996-08-18,72.48452053113,11.050436016692
"299","Toolik",1996-08-19,66.308995130355,11.050436016692
"300","Toolik",1996-08-20,60.51661773768,11.050436016692
"301","Toolik",1996-08-21,55.55268985356,11.050436016692
"302","Toolik",1996-08-22,50.6603665134,11.050436016692
"303","Toolik",1996-08-23,46.5465886100513,11.050436016692
"304","Toolik",1996-08-24,47.74292116596,11.050436016692
"305","Toolik",1996-08-27,NA,11.050436016692
"306","Toolik",1996-09-02,NA,11.050436016692
"307","Toolik",1997-06-04,145.2375631575,11.050436016692
"308","Toolik",1997-06-05,134.870531757638,11.050436016692
"309","Toolik",1997-06-06,91.5353179271998,11.050436016692
"310","Toolik",1997-06-07,59.5398894276002,11.050436016692
"311","Toolik",1997-06-08,41.11391632884,11.050436016692
"312","Toolik",1997-06-09,27.5467695561,11.050436016692
"313","Toolik",1997-06-10,21.83486470401,11.050436016692
"314","Toolik",1997-06-11,19.38441606321,11.050436016692
"315","Toolik",1997-06-12,19.909887623415,11.050436016692
"316","Toolik",1997-06-13,23.93911855248,11.050436016692
"317","Toolik",1997-06-14,27.1539327831652,11.050436016692
"318","Toolik",1997-06-15,63.71165455002,11.050436016692
"319","Toolik",1997-06-15,63.71165455002,11.050436016692
"320","Toolik",1997-06-16,166.1120773299,11.050436016692
"321","Toolik",1997-06-16,166.1120773299,11.050436016692
"322","Toolik",1997-06-16,166.1120773299,11.050436016692
"323","Toolik",1997-06-16,166.1120773299,11.050436016692
"324","Toolik",1997-06-17,84.2680936944002,11.050436016692
"325","Toolik",1997-06-17,84.2680936944002,11.050436016692
"326","Toolik",1997-06-18,52.3558432116,11.050436016692
"327","Toolik",1997-06-19,34.78370189202,11.050436016692
"328","Toolik",1997-06-20,23.61365591454,11.050436016692
"329","Toolik",1997-06-21,17.2723180877836,11.050436016692
"330","Toolik",1997-06-22,13.0577736424091,11.050436016692
"331","Toolik",1997-06-23,10.7128594849254,11.050436016692
"332","Toolik",1997-06-24,10.6484960977691,11.050436016692
"333","Toolik",1997-06-25,9.84820855837092,11.050436016692
"334","Toolik",1997-06-26,7.8305656428982,11.050436016692
"335","Toolik",1997-06-27,5.97478160863636,11.050436016692
"336","Toolik",1997-06-28,4.81415689998001,11.050436016692
"337","Toolik",1997-06-29,3.89310896174727,11.050436016692
"338","Toolik",1997-06-30,3.14851012793018,11.050436016692
"339","Toolik",1997-07-01,2.471818785408,11.050436016692
"340","Toolik",1997-07-02,4.76129167567202,11.050436016692
"341","Toolik",1997-07-03,108.43218047214,11.050436016692
"342","Toolik",1997-07-03,108.43218047214,11.050436016692
"343","Toolik",1997-07-03,108.43218047214,11.050436016692
"344","Toolik",1997-07-03,108.43218047214,11.050436016692
"345","Toolik",1997-07-03,108.43218047214,11.050436016692
"346","Toolik",1997-07-03,108.43218047214,11.050436016692
"347","Toolik",1997-07-03,108.43218047214,11.050436016692
"348","Toolik",1997-07-04,216.71951391,11.050436016692
"349","Toolik",1997-07-04,216.71951391,11.050436016692
"350","Toolik",1997-07-04,216.71951391,11.050436016692
"351","Toolik",1997-07-05,115.5403318032,11.050436016692
"352","Toolik",1997-07-05,115.5403318032,11.050436016692
"353","Toolik",1997-07-06,79.0230456831597,11.050436016692
"354","Toolik",1997-07-07,69.45734288835,11.050436016692
"355","Toolik",1997-07-08,58.7504565765,11.050436016692
"356","Toolik",1997-07-09,61.21992359448,11.050436016692
"357","Toolik",1997-07-10,64.85066424936,11.050436016692
"358","Toolik",1997-07-11,57.36208471002,11.050436016692
"359","Toolik",1997-07-12,45.82012380102,11.050436016692
"360","Toolik",1997-07-13,40.7944190511,11.050436016692
"361","Toolik",1997-07-14,463.193031204,11.050436016692
"362","Toolik",1997-07-14,463.193031204,11.050436016692
"363","Toolik",1997-07-14,463.193031204,11.050436016692
"364","Toolik",1997-07-15,467.387993826,11.050436016692
"365","Toolik",1997-07-15,467.387993826,11.050436016692
"366","Toolik",1997-07-16,212.2240083525,11.050436016692
"367","Toolik",1997-07-17,135.8712904428,11.050436016692
"368","Toolik",1997-07-18,96.9652112183997,11.050436016692
"369","Toolik",1997-07-19,92.3874544656,11.050436016692
"370","Toolik",1997-07-20,198.195886083343,11.050436016692
"371","Toolik",1997-07-21,155.043611470285,11.050436016692
"372","Toolik",1997-07-22,160.079877652114,11.050436016692
"373","Toolik",1997-07-23,148.793589481372,11.050436016692
"374","Toolik",1997-07-24,120.714899011457,11.050436016692
"375","Toolik",1997-07-25,99.5688526201711,11.050436016692
"376","Toolik",1997-07-26,110.380901877,11.050436016692
"377","Toolik",1997-07-27,139.851009002571,11.050436016692
"378","Toolik",1997-07-28,178.595084643429,11.050436016692
"379","Toolik",1997-07-29,131.284145108571,11.050436016692
"380","Toolik",1997-07-30,101.982815789143,11.050436016692
"381","Toolik",1997-07-31,81.8224404521143,11.050436016692
"382","Toolik",1997-08-01,68.9058034503429,11.050436016692
"383","Toolik",1997-08-02,61.052933952,11.050436016692
"384","Toolik",1997-08-03,57.4199844805662,11.050436016692
"385","Toolik",1997-08-04,52.6476465444185,11.050436016692
"386","Toolik",1997-08-05,50.6317685610462,11.050436016692
"387","Toolik",1997-08-06,94.053944335292,11.050436016692
"388","Toolik",1997-08-07,140.250907017693,11.050436016692
"389","Toolik",1997-08-08,165.825751706584,11.050436016692
"390","Toolik",1997-08-09,219.567082879108,11.050436016692
"391","Toolik",1997-08-10,172.53305649803,11.050436016692
"392","Toolik",1997-08-11,160.790785482185,11.050436016692
"393","Toolik",1997-08-12,170.952134937231,11.050436016692
"394","Toolik",1997-08-13,320.495564307046,11.050436016692
"395","Toolik",1997-08-14,609.548967181107,11.050436016692
"396","Toolik",1997-08-15,663.6946517784,11.050436016692
"397","Toolik",1997-08-16,356.114815614,11.050436016692
"398","Toolik",1997-08-17,283.7876036535,11.050436016692
"399","Toolik",1997-08-18,299.4193245186,11.050436016692
"400","Toolik",1997-08-19,249.584895708339,11.050436016692
"401","Toolik",1997-08-20,236.264794134097,11.050436016692
"402","Toolik",1997-08-21,244.103536163927,11.050436016692
"403","Toolik",1997-08-22,203.002463112957,11.050436016692
"404","Toolik",1997-08-23,175.755668314182,11.050436016692
"405","Toolik",1997-08-24,157.754855557004,11.050436016692
"406","Toolik",1998-06-02,19.7827212641629,11.050436016692
"407","Toolik",1998-06-03,36.359597237697,11.050436016692
"408","Toolik",1998-06-04,36.9579560236685,11.050436016692
"409","Toolik",1998-06-05,25.9008272031854,11.050436016692
"410","Toolik",1998-06-06,26.5040387209976,11.050436016692
